text	label
Except as otherwise set forth in this Debenture, the Company, for itself and its legal representatives, successors and assigns, expressly waives presentment, protest, demand, notice of dishonor, notice of nonpayment, notice of maturity, notice of protest, presentment for the purpose of accelerating maturity, and diligence in collection.	Waivers
No ERISA Event has occurred or is reasonably expected to occur that, when taken together with all other such ERISA Events for which liability is reasonably expected to occur, could reasonably be expected to result in a Material Adverse Effect. Neither Borrower nor any ERISA Affiliate maintains or contributes to or has any obligation to maintain or contribute to any Multiemployer Plan or Plan, nor otherwise has any liability under Title IV of ERISA.	Erisa
This Amendment may be executed by one or more of the parties hereto on any number of separate counterparts, and all of said counterparts taken together shall be deemed to constitute one and the same instrument. This Amendment may be delivered by facsimile or other electronic transmission of the relevant signature pages hereof.	Counterparts
From time to time, as and when required by the Surviving Corporation or by its successors or assigns, there shall be executed and delivered on behalf of Ashford (DE) such deeds and other instruments, and there shall be taken or caused to be taken by it all such further and other action, as shall be appropriate, advisable or necessary in order to vest, perfect or confirm, of record or otherwise, in the Surviving Corporation the title to and possession of all property, interests, assets, rights, privileges, immunities, powers, franchises and authority of Ashford (DE), and otherwise to carry out the purposes of this Agreement.  The officers and directors of the Surviving Corporation are fully authorized in the name and on behalf of Ashford (DE) or otherwise, to take any and all such action and to execute and deliver any and all such deeds and other instruments.	Further Assurances
Commencing March 7, 2016 and during the Employment Period, the Company shall pay to the Executive a base salary at the rate of no less than $750,000 per calendar year (the “Base Salary”), less applicable deductions, and prorated for any partial month or year, as applicable. The Base Salary shall be reviewed for increase by the Compensation Committees of AFG and AAC (the “Compensation Committees”) no less frequently than annually and may be increased in the discretion of the Compensation Committees. Any such adjusted Base Salary shall constitute the “Base Salary” for purposes of this Agreement. The Base Salary shall be paid in substantially equal installments in accordance with AAC’s regular payroll procedures. The Executive’s Base Salary may not be decreased during the Employment Period. The Company shall provide the Executive with a payment in an amount equal to the difference between (i) the Base Salary payments the Executive would have received had he been paid at the rate set forth in this Section 4(a) during the period commencing on March 7, 2016 and ending on the Effective Date hereof and (ii) the actual salary payments made to the Executive during such period, payable in a lump sum on a regular payroll date as soon as practicable following the Effective Date.	Base Salary
All notices required or permitted under this Agreement will be in writing, will reference this Agreement, and will be deemed given: (i) when delivered personally; (ii) one (1) business day after deposit with a nationally-recognized express courier, with written confirmation of receipt; or (iii) three (3) business days after having been sent by registered or certified mail, return receipt requested, postage prepaid. All such notices will be sent to the addresses set forth above or to such other address as may be specified by either party to the other party in accordance with this Section.	Notices
Each Credit Party shall maintain, in all material respects, proper, complete and consistent books of record with respect to such Person’s operations, affairs, and financial condition. From time to time upon reasonable prior notice, each Credit Party shall permit any Lender, at such reasonable times and intervals and to a reasonable extent and under the reasonable guidance of officers of or employees delegated by officers of such Credit Party, to, subject to any applicable confidentiality considerations, examine and copy the books and records of such Credit Party, to visit and inspect the Property of such Credit Party, and to discuss the business operations and Property of such Credit Party with the officers and directors thereof (provided that, so long as no Event of Default has occurred and is continuing, the Lenders shall be entitled to only one such visit per year coordinated by the Administrative Agent).	Records
BORROWER HEREBY AGREES TO DEFEND, INDEMNIFY AND HOLD HARMLESS INDEMNITEES FOR, FROM AND AGAINST ANY AND ALL LOSSES, DAMAGES, LIABILITIES, CLAIMS, ACTIONS, JUDGMENTS, COURT COSTS AND LEGAL OR OTHER EXPENSES (INCLUDING, WITHOUT LIMITATION, REASONABLE ATTORNEYS' FEES AND EXPENSES) WHICH ANY INDEMNITEE MAY INCUR AS A DIRECT OR INDIRECT CONSEQUENCE OF: (A) THE PURPOSE TO WHICH BORROWER APPLIES THE LOAN PROCEEDS; (B) THE FAILURE OF BORROWER TO PERFORM ANY OBLIGATIONS AS AND WHEN REQUIRED BY THIS AGREEMENT OR ANY OF THE OTHER LOAN DOCUMENTS; (C) ANY FAILURE AT ANY TIME OF ANY OF BORROWER'S REPRESENTATIONS OR WARRANTIES TO BE TRUE AND CORRECT; (D) ANY ACT OR OMISSION BY BORROWER, CONSTITUENT PARTNER OR MEMBER OF BORROWER WITH RESPECT TO ANY OF THE PROPERTY OR IMPROVEMENTS; OR (E) ANY ACTION OR OMISSION OF ANY INDEMNITEE IN CONNECTION WITH THE ENFORCEMENT OF ANY OF ITS RIGHTS UNDER THE LOAN DOCUMENTS OR THE OTHER RELATED DOCUMENTS EXCEPT TO THE EXTENT ARISING FORM THE GROSS NEGLIGENCE OR WILLFUL MISCONDUCT OF ANY INDEMNITEE. BORROWER SHALL PROMPTLY PAY TO INDEMNITEES UPON DEMAND ANY AMOUNTS OWING UNDER THIS INDEMNITY, TOGETHER WITH INTEREST FROM THE DATE SUCH OBLIGATION ARISES UNTIL PAID AT THE RATE OF INTEREST APPLICABLE TO THE PRINCIPAL BALANCE OF THE NOTE. BORROWER'S DUTY AND OBLIGATION TO DEFEND, INDEMNIFY AND HOLD HARMLESS INDEMNITEES SHALL SURVIVE CANCELLATION OF THE NOTE AND THE RECONVEYANCE, RELEASE OR SATISFACTION OR PARTIAL RECONVEYANCE, RELEASE OR SATISFACTION OF THE SECURITY INSTRUMENT OR OTHER LOAN DOCUMENTS.	Indemnity
Sublessee leases the Aircraft in its “as is, where is” condition. The only services, rights, or warranties to which the Sublessee is entitled to under this Sublease are those to which the Sublessor is provided under the Prime Lease.	Warranties
This Agreement shall be construed and enforced in accordance with the laws of the State of Minnesota (without reference to its conflicts of laws provisions).	Governing Laws
Any dispute, controversy, claim or action of any kind arising out of, relating to, or in connection with this Agreement, or in any way involving Company and Investor or their respective Affiliates, including any issues of arbitrability, will be resolved solely by final and binding arbitration in English before a retired judge at JAMS International, or its successor, in the Territory of the Virgin Islands, pursuant to the most expedited and Streamlined Arbitration Rules and procedures available. Any interim or final award may be entered and enforced by any court of competent jurisdiction. The final award will include the prevailing party’s reasonable arbitration, expert witness and attorney fees, costs and expenses. Notwithstanding the foregoing, Investor may in its sole discretion bring an action in the U.S. District Court for the District of Nevada or the Middle District of Florida in addition to, in lieu of, or in aid of arbitration.	Arbitration
This Agreement and any of the documents related hereto and the rights, duties, or obligations thereunder may not be assigned by the Applicant without the written consent of the Commissioner.  Any assignment made without the written consent of the Commissioner shall be void and of no force or effect.	Assignments
Borrower or any Guarantor fails to provide the Lender with financial statements, tax returns or other information within thirty (30) days of Lender’s request..	Financial Statements
"Except as disclosed in the SEC Reports, there is no action, suit, inquiry, notice of violation, proceeding or investigation pending or, to the knowledge of the Company, threatened against or affecting the Company, any Subsidiary or any of their respective properties before or by any court, arbitrator, governmental or administrative agency or regulatory authority (federal, state, county, local or foreign) (collectively, an "" Action "") which (i) adversely affects or challenges the legality, validity or enforceability of any of the Transaction Documents or the Securities or (ii) could, if there were an unfavorable decision, have or reasonably be expected to result in a Material Adverse Effect.  Neither the Company nor any Subsidiary, nor any director or officer thereof, is or has been the subject of any Action involving a claim of violation of or liability under federal or state securities laws or a claim of breach of fiduciary duty.  There has not been, and to the knowledge of the Company, there is not pending or contemplated, any investigation by the Commission involving the Company or any current or former director or officer of the Company.  The Commission has not issued any stop order or other order suspending the effectiveness of any registration statement filed by the Company or any Subsidiary under the Exchange Act or the Securities Act."	Litigations
Neither the Company’s ownership of the assets, nor, to such Assignor’s knowledge, the operation of the Company’s assets is in violation of any applicable laws, licenses and permits, including any applicable environmental laws, licenses and permits, in any material respect.	Compliance With Laws
During the Term of Executive’s Agreement, the Executive shall be entitled to be paid vacation in accordance with the most favorable plans, policies, programs and practices of the Company and its subsidiaries as in effect at any time hereafter with respect to other key Executives of the Company and its subsidiaries; provided, however, that in no event shall Executive be entitled to fewer than 25 business days paid vacation per year, as well as pay for all holidays observed by the Company.	Vacations
This Agreement supersedes all prior agreements, whether oral or written, by any officer, employee or representative of any party hereto in respect of the subject matter contained herein; and any prior agreement of the parties hereto in respect of the subject matter contained herein is hereby terminated and cancelled (other than the Non-disclosure and Assignment of Inventions Agreement dated May 24, 2013 by and between Employee and the Company).	Entire Agreements
The validity or unenforceability of any provision or provisions of this Agreement shall not affect the validity or enforceability of any other provision hereof, which will remain in full force and effect.  Should a court or other body of competent jurisdiction determine that any provision of this Agreement is excessive in scope or otherwise illegal, invalid, void or unenforceable, such provision shall be adjusted rather than voided, if possible, so that it is enforceable to the maximum extent possible.	Severability
Notwithstanding anything herein to the contrary, the Company shall have the right to enforce the provisions of Section 3.3 through an action, suit or proceeding brought in any federal court located in the State of Colorado or any Colorado state court, and each Participant consents to the exclusive jurisdiction and venue of such courts (and of the appropriate appellate courts therefrom) in any such action, suit or proceeding and irrevocably waives, to the fullest extent permitted by law, any right to a jury trial and any objection that such party may now or hereafter have to the laying of the venue of any such action, suit or proceeding in any such court or that any such action, suit or proceeding brought in any such court has been brought in an inconvenient forum.	Waiver Of Jury Trials
All covenants, agreements, representations and warranties made by the Borrower herein and in the certificates or other instruments delivered in connection with or pursuant to this Agreement shall be considered to have been relied upon by the other parties hereto and shall survive the execution and delivery of this Agreement and the making of any Loans, regardless of any investigation made by any such other party or on its behalf and notwithstanding that the Administrative Agent or any Lender may have had notice or knowledge of any Default or incorrect representation or warranty at the time any credit is extended hereunder, and shall continue in full force and effect as long as the principal of or any accrued interest on any Loan or any fee or any other amount payable under this Agreement is outstanding. The provisions of Section 2.15 , Section 2.16 , Section 2.17 and Section 9.03 and Article VIII shall survive and remain in full force and effect regardless of the consummation of the transactions contemplated hereby, the repayment of the Loan, or the termination of this Agreement or any provision hereof.	Survival
The Purchaser is an entity and is duly incorporated, validly existing and in good standing under the laws of the jurisdiction of its incorporation or organization.	Organizations
This Agreement shall be binding upon and inure to the benefit of the Borrower, the each Guarantor, the Administrative Agent, each Bank and their respective successors and permitted assigns, except that the Borrower and the Guarantor Guarantors shall not have the right to assign any of their respective rights hereunder or any interest herein without the prior written consent of the Banks. The rights of the Banks to assign this Agreement are set forth in and are subject to the provisions of Section 10.16 .	Binding Effects
Borrower shall use proceeds of the Loan to (a) make initial deposits of the Reserve Funds, (b) make distributions to Equity Owner, (c) pay costs and expenses incurred in connection with the closing of the Loan and any related Securitization, and (d) to the extent any proceeds remain after satisfying clauses (a) through (c) above, for such lawful purpose as Borrower shall designate.	Use Of Proceeds
Landlord and Tenant acknowledge and agree that the Lease Term commenced on May 1, 1996 and is scheduled to expire on April 30, 2017.  Landlord and Tenant hereby extend the Lease Term for the period commencing on May 1, 2017 and expiring on July 31, 2020 (the “ Additional Term ”), unless further extended or earlier terminated in accordance with the provisions of the Lease.	Terms
You agree to hold the facts and circumstances surrounding the execution of this Agreement and the Supplemental Release in strictest confidence.	Confidentiality
The Committee has the right at any time, and from time to time, to amend, alter, suspend, discontinue or cancel the Option, prospectively or retroactively; provided, however , that no such amendment shall adversely affect the Participant’s material rights under this Agreement without the Participant’s written consent, and any such amendment shall be in accordance with Section 409A of the Code.	Amendments
Subject to Section 5.4(c), shares issued pursuant to any Restricted Stock Award may (but need not) be made subject to Vesting Conditions based upon the satisfaction of such Service requirements, conditions, restrictions or performance criteria, including, without limitation, Performance Goals as described in Section 10.4, as shall be established by the Committee and set forth in the Award Agreement evidencing such Award. During any period in which shares acquired pursuant to a Restricted Stock Award remain subject to Vesting Conditions, such shares may not be sold, exchanged, transferred, pledged, assigned or otherwise disposed of other than pursuant to an Ownership Change Event or as provided in Section 8.8. The Committee, in its discretion, may provide in any Award Agreement evidencing a Restricted Stock Award that, if the satisfaction of Vesting Conditions with respect to any shares subject to such Restricted Stock Award would otherwise occur on a day on which the sale of such shares would violate the provisions of the Insider Trading Policy, then satisfaction of the Vesting Conditions automatically shall be determined on the next trading day on which the sale of such shares would not violate the Insider Trading Policy. Upon request by the Company, each Participant shall execute any agreement evidencing such transfer restrictions prior to the receipt of shares of Stock hereunder and shall promptly present to the Company any and all certificates representing shares of Stock acquired hereunder for the placement on such certificates of appropriate legends evidencing any such transfer restrictions.	Vesting
Within three (3) Business Days of the date hereof, the Company shall issue a press release substantially in the form of Exhibit C hereto.  No other written public release or written announcement concerning the purchase of the Shares contemplated hereby shall be issued by any Party without the prior written consent of the other Parties (which consent shall not be unreasonably withheld), except as such release or announcement may be required by Law or the rules or regulations of any securities exchange, in which case the Party required to make the release or announcement shall, if such release or announcement contains information materially different from the press release set forth on Exhibit C , and to the extent reasonably practicable, allow the other Parties reasonable time to comment on such release or announcement in advance of such issuance.  The provisions of this Section 13 shall not restrict the ability of a Party to summarize or describe the transactions contemplated by this Agreement in any prospectus or similar offering document so long as the other Parties are provided a reasonable opportunity to review such disclosure in advance.	Publicity
