text	label
"COMMISSION REGULATION (EEC) No 3822/92 of 28 December 1992 fixing the agricultural conversion rates
THE COMMISSION OF THE EUROPEAN COMMUNITIES,
Having regard to the Treaty establishing the European Economic Community,
Having regard to Council Regulation (EEC) No 3813/92 of 28 December 1992 on the unit of account and the conversion rates to be applied for the purposes of the common agricultural policy (1), and in particular Articles 1 (c) and 3 (1) thereof,
Whereas Regulation (EEC) No 3813/92 provides for the agricultural conversion rates to be fixed initially at the representative market rate for the fixed currencies and, taking account of that rate for the floating currencies, for a reference period during the month of December 1992;
Whereas for each floating currency a representative market rate should be adopted equal to the average of ecu rates published in the Official Journal of the European Communities, 'C' series, for the period 21 to 30 December 1992, and the agricultural conversion rates concerned fixed at the level of a maximum gap of 2 points with those representative market rates;
Whereas the measures provided for in this Regulation are in accordance with the opinion of the relevant management committees,
HAS ADOPTED THIS REGULATION:
Article 1
The agricultural conversion rates are fixed at:
ECU 1 = Bfrs/Lfrs 48,5563 Dkr 8,97989 DM 2,35418 Dr 310,351 Pta 166,075 FF 7,89563 £ IRL 0,878776 Lit 2 087,00 Fl 2,65256 Esc 209,523 £ 0,939052
Article 2
This Regulation shall enter into force on 1 January 1993. This Regulation shall be binding in its entirety and directly applicable in all Member States.
Done at Brussels, 28 December 1992."	100245
"*****
COUNCIL REGULATION (EEC) No 2368/89
of 28 July 1989
amending Regulation (EEC) No 3951/88 fixing catch possibilities for 1989 for certain fish stocks and groups of fish stocks in the Regulatory Area as defined in the NAFO Convention
THE COUNCIL OF THE EUROPEAN COMMUNITIES,
Having regard to the Treaty establishing the European Economic Community,
Having regard to Council Regulation (EEC) No 170/83 of 25 January 1983 establishing a Community system for the conservation and management of fishery resources (1), as amended by the 1985 Act of Accession, and in particular Article 11 thereof,
Having regard to the proposal from the Commission,
Whereas, in accordance with Article 3 of Regulation (EEC) No 170/83, it is incumbent upon the Council to establish the total allowable catches (TACs) by stock or group of stocks, the share available for the Community and also the specific conditions under which the catches must be made; whereas, in accordance with Article 4 of the said Regulation, the share available for the Community is to be allocated between the Member States;
Whereas Regulation (EEC) No 3951/88 (1) fixed catch possibilities for 1989 for certain fish stocks and groups of fish stocks in the Regulatory Area as defined in the NAFO Convention;
Whereas the scientific information now available on the cod stocks in NAFO divisions 2 J + 3 KL indicates a deterioration in the status of the stocks;
Whereas, in the framework of its wider international obligations, the Community participates in efforts to conserve fish stocks arising in international waters;
Whereas it is necessary consequently to reduce the fishing possibilities of the Community on the stocks in the current year,
HAS ADOPTED THIS REGULATION:
Article 1
The figures relating to cod in NAFO divisions 2 J + 3 KL set out in Annex I to Regulation (EEC) No 3951/88 are hereby replaced by those set out in the Annex to this Regulation.
Article 2
This Regulation shall enter into force on the third day following that of its publication in the Official Journal of the European Communities.
This Regulation shall be binding in its entirety and directly applicable in all Member States.
Done at Brussels, 28 July 1989."	100252
"COMMISSION REGULATION (EEC) No 1369/89 of 19 May 1989 fixing for the 1989 marketing year the maximum levels of the withdrawal prices for tomatoes grown under glass
THE COMMISSION OF THE EUROPEAN COMMUNITIES,
Having regard to the Treaty establishing the European Economic Community,
Having regard to the Act of Accession of Spain and Portugal,
Having regard to Council Regulation (EEC) No 1035/72 of 18 May 1972 on the common organization of the market in fruit and vegetables (1), as last amended by Regulation (EEC) No 1119/89 (2), and in particular the last subparagraph of Article 18 (1) thereof,
Whereas, under the last subparagraph of Article 18 (1) of Regulation (EEC) No 1035/72, producers' organizations may be authorized, in view of the characteristics of the market under consideration, to fix, under certain conditions, withdrawal prices above the levels referred to in Article 18 (1) (a) of that Regulation;
Whereas the market in tomatoes grown under glass has different characteristics from those of the market in open-grown tomatoes; whereas tomatoes grown under glass are mainly 'Extra' class and class I products, the prices for which are considerably higher than those for open-grown products;
Whereas, in order to provide more effective support for the market in tomatoes grown under glass, producers' organizations or associations of such organizations should be allowed to fix their withdrawal price at a level higher than the Community withdrawal price; whereas, in accordance with the last subparagraph of Article 18 (1), it appears that the maximum level of the withdrawal price for these products can justifiably be fixed by applying, to the prices fixed for the 1988 marketing year, a variation of the same order as that applied by the Council when fixing the basic prices and buying-in prices for tomatoes;
Whereas the measures provided for in this Regulation are in accordance with the opinion of the Management Committee for Fruit and Vegetables,
HAS ADOPTED THIS REGULATION:
Article 1
For the 1989 marketing year, producers' organizations or associations of such organizations may fix withdrawal prices, not exceeding the following maxima, in ecus per 100 kilograms net, for tomatoes grown under glass:
- June (11 to 20): 30,25,
(21 to 30): 27,83,
- July (1 to 10): 26,06,
(11 to 20): 24,41,
(21 to 31): 22,63,
- August: 22,63,
- September: 22,63,
- October: 22,63,
- November: 22,63.
Article 2
The producers' organizations shall supply the following information to the national authorities, who shall communicate it to the Commission:
- the period during which withdrawal prices are applicable,
- the levels of withdrawal prices proposed and of those applied.
Article 3
This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities. It shall apply with effect from 11 June 1989.
This Regulation shall be binding in its entirety and directly applicable in all Member States.
Done at Brussels, 19 May 1989."	100207
"Council Decision
of 28 July 2003
on the amendment of Annex 3, Part I, of the Common Consular Instructions and Annex 5a, Part I, of the Common Manual on third country nationals subject to airport visa requirements
(2003/586/EC)
THE COUNCIL OF THE EUROPEAN UNION,
Having regard to Council Regulation (EC) No 789/2001 of 24 April 2001 reserving to the Council implementing powers with regard to certain detailed provisions and practical procedures for examining visa applications(1),
Having regard to Council Regulation (EC) No 790/2001 of 24 April 2001 reserving to the Council implementing powers with regard to certain detailed provisions and practical procedures for carrying out border checks and surveillance(2),
Having regard to the initiative of the Italian Republic,
Whereas:
(1) Annex 3, Part I, of the Common Consular Instructions and Annex 5a, Part I, of the Common Manual contain the joint list of third countries whose nationals are subject to airport visa requirements (ATV) by all Member States.
(2) The Italian Republic wishes to limit this air transit visa requirement to Eritrean nationals who do not hold a valid visa or residence permit issued by Member States of the European Union or for a State party to the Agreement on the European Economic Area of 2 May 1992, Canada, Switzerland or the United States of America. The Common Consular Instructions and the Common Manual should therefore be amended accordingly.
(3) In accordance with Articles 1 and 2 of the Protocol on the position of Denmark annexed to the Treaty on European Union and to the Treaty establishing the European Community, Denmark is not taking part in the adoption of this Decision, and is not bound by it or subject to its application. Given that this Decision builds upon the Schengen acquis under the provisions of Title IV of Part Three of the Treaty establishing the European Community, Denmark shall, in accordance with Article 5 of the said Protocol, decide within a period of six months after the Council has adopted this Decision whether it will implement it in its national law.
(4) As regards Iceland and Norway, this Decision constitutes a development of provisions of the Schengen acquis within the meaning of the Agreement concluded by the Council of the European Union and the Republic of Iceland and the Kingdom of Norway concerning the association of those two States with the implementation, application and development of the Schengen acquis(3), which fall within the area referred to in Article 1, point A of Council Decision 1999/437/EC(4) on certain arrangements for the application of that Agreement.
(5) This Decision constitutes a development of provisions of the Schengen acquis in which the United Kingdom does not take part, in accordance with Council Decision 2000/365/EC of 19 May 2000 concerning the request of the United Kingdom of Great Britain and Northern Ireland to take part in some of the provisions of the Schengen acquis(5); the United Kingdom is therefore not taking part in its adoption and is not bound by it or subject to its application.
(6) This Decision constitutes a development of provisions of the Schengen acquis in which Ireland does not take part, in accordance with Council Decision 2002/192/EC of 28 February 2002 concerning Ireland's request to take part in some of the provisions of the Schengen acquis(6); Ireland is therefore not taking part in its adoption and is not bound by it or subject to its application.
(7) This Decision constitutes an act building upon the Schengen acquis or otherwise related to it within the meaning of Article 3(2) of the 2003 Act of Accession,
HAS ADOPTED THIS DECISION:
Article 1
Footnote (4) relating to Eritrea in Annex 3, Part I, of the Common Consular Instructions and in Annex 5a, Part I, of the Common Manual should read as follows:
""(4) For Germany and Italy
Only where the nationals are not in possession of a valid visa or residence permit for a Member State of the European Union or for a State party to the Agreement on the European Economic Area of 2 May 1992, Canada, Switzerland or the United States of America.""
Article 2
This Decision shall apply from 1 September 2003.
Article 3
This Decision is addressed to the Member States in accordance with the Treaty establishing the European Community.
Done at Brussels, 28 July 2003."	100183
"COUNCIL REGULATION (EEC) No 1250/89 of 3 May 1989 fixing the basic price and the standard quality for slaughtered pigs for the period 1 July 1989 to 30 June 1990
THE COUNCIL OF THE EUROPEAN COMMUNITIES,
Having regard to the Treaty establishing the European Economic Community and in particular Article 43 thereof,
Having regard to Council Regulation (EEC) No 2759/75 of 29 October 1975 on the common organization of the market in pigmeat (1), as last amended by Regulation (EEC) No 1249/89 (2), and in particular Article 4 (4) thereof,
Having regard to the proposal from the Commission (3),
Having regard to the opinion of the European Parliament (4),
Having regard to the opinion of the Economic and Social Committee (5),
Whereas, when the basic price for slaughtered pigs is fixed, account should be taken of the objectives of the common agricultural policy and of the contribution which the Community desires to make to the harmonious development of world trade; whereas the objectives of the common agricultural policy are in particular to ensure a fair standard of living for the agricultural community, to ensure that supplies are available and that they reach consumers at reasonable prices;
Whereas the basic price must be fixed in accordance with the criteria laid down in Article 4 (1) of Regulation (EEC) No 2759/75 for a standard quality defined by reference to Council Regulation (EEC) No 3220/84 of 13 November 1984 determining the Community scale for grading pig carcases (6), as amended by Regulation (EEC) No 3530/86 (7);
Whereas Regulation (EEC) No 2759/75 has been amended to make the basic price applicable in future from 1 July of each year; whereas Regulation (EEC) No 2266/88 (8) fixing
the basic price and the standard quality for slaughtered pigs for the period 1 July 1988 to 31 October 1989 should in consequence be repealed;
Whereas experience acquired of carcase classification indicates that it would be possible to simplify the definition of standard carcase quality,
HAS ADOPTED THIS REGULATION:
Article 1
For the period 1 July 1989 to 30 June 1990 the basic price for slaughtered pigs of the standard quality shall be ECU 2 033,30 per tonne.
Article 2
The standard quality shall be defined in terms of carcase weight and lean meat content, determined in accordance with Article 2 (2) and (3) of Regulation (EEC) No 3220/84, as follows:
(a) carcases weighing 60 to less than 120 kilograms:
grade U;
(b) carcases weighing 120 to 180 kilograms: grade R.
Article 3
Regulation (EEC) No 2266/88 is hereby repealed.
Article 4
This Regulation shall enter into force on the third day following that of its publication in the Official Journal of the European Communities.
It shall apply from 1 July 1989.
This Regulation shall be binding in its entirety and directly applicable in all Member States.
Done at Brussels, 3 May 1989."	100253
